chip,d2m,t2m,skt,stl1,stl2,stl3,stl4,tp
chip_20160101_L30_T29RKH_2015337T111814_2_4.tif,269.8796691894531,289.8714294433594,290.2119141,290.3265075683594,291.628418,296.23822021484375,302.3145751953125,2.611928357509896e-05
chip_20160101_L30_T29RKH_2015337T111814_2_5.tif,269.8386535644531,289.9456481933594,290.2822266,290.3948669433594,291.6928711,296.29290771484375,302.3516845703125,3.818922414211556e-05
chip_20160101_L30_T29RKH_2015337T111814_4_0.tif,270.0867004394531,289.6448669433594,290.0224609,290.1370544433594,291.4663086,296.14837646484375,302.3126220703125,3.3056062420655508e-06
chip_20160101_L30_T29RKJ_2015337T111814_4_11.tif,270.1726379394531,289.5804138183594,290.0615234,290.1780700683594,291.5053711,296.19329833984375,302.3829345703125,1.390807028656127e-06
chip_20160101_L30_T36QYK_2015337T080116_12_0.tif,281.8425598144531,290.4515075683594,292.0361328,292.1741638183594,293.5834961,297.43157958984375,302.5372314453125,2.3966354092408437e-06
chip_20160101_L30_T36QYK_2015337T080116_12_1.tif,281.8425598144531,290.4515075683594,292.0361328,292.1741638183594,293.5834961,297.43157958984375,302.5372314453125,2.3966354092408437e-06
chip_20160101_L30_T36QYL_2015337T080116_10_12.tif,280.5476379394531,289.9358825683594,291.7666016,291.9046325683594,293.3413086,297.26947021484375,302.5762939453125,1.7707866390992422e-06
chip_20160101_L30_T36QYL_2015337T080116_10_9.tif,282.2312316894531,290.9651794433594,292.2783203,292.4065856933594,293.7338867,297.44329833984375,302.1544189453125,2.9330772122193594e-06
chip_20160101_L30_T36QYL_2015337T080116_11_10.tif,283.2117004394531,291.7112731933594,294.2314453,294.3518981933594,295.659668,299.31243896484375,303.9981689453125,4.952184553985717e-06
chip_20160101_L30_T36QYL_2015337T080116_12_12.tif,282.2898254394531,290.9632263183594,292.6982422,292.8304138183594,294.2006836,297.97064208984375,302.9102783203125,2.471141215210082e-06
